"county","state","zips"
"Aleutians East Borough","AK","99553, 99571, 99583, 99612, 99661"
"Aleutians West Census Area","AK","99546, 99547, 99591, 99638, 99660, 99685, 99692"
"Anchorage Municipality","AK","99501, 99502, 99503, 99504, 99505, 99506, 99507, 99508, 99509, 99510, 99511, 99513, 99514, 99515, 99516, 99517, 99518, 99519, 99520, 99521, 99522, 99523, 99524, 99529, 99530, 99540, 99567, 99577, 99587, 99599"
"Bethel Census Area","AK","99545, 99551, 99552, 99557, 99559, 99561, 99575, 99578, 99589, 99607, 99609, 99614, 99621, 99622, 99626, 99630, 99634, 99637, 99641, 99651, 99655, 99656, 99668, 99679, 99680, 99681, 99690"
"Bristol Bay Borough","AK","99613, 99633, 99670"
"Denali Borough","AK","99729, 99743, 99744, 99755"
"Dillingham Census Area","AK","99555, 99569, 99576, 99580, 99628, 99636, 99678"
"Fairbanks North Star Borough","AK","99701, 99702, 99703, 99705, 99706, 99707, 99708, 99709, 99712, 99714, 99725, 99775, 99790"
"Haines Borough","AK",99827
"Hoonah-Angoon Census Area","AK","99820, 99825, 99826, 99829, 99832, 99841"
"Juneau City and Borough","AK","99801, 99811, 99824"
"Kenai Peninsula Borough","AK","99556, 99568, 99572, 99603, 99605, 99610, 99611, 99631, 99635, 99639, 99663, 99664, 99669, 99672, 99682"
"Ketchikan Gateway Borough","AK","99901, 99928"
"Kodiak Island Borough","AK","99550, 99608, 99615, 99624, 99643, 99644"
"Lake and Peninsula Borough","AK","99548, 99549, 99564, 99565, 99579, 99606, 99625, 99640, 99647, 99648, 99649, 99653"
"Matanuska-Susitna Borough","AK","99623, 99645, 99652, 99654, 99667, 99674, 99676, 99683, 99687, 99688, 99694"
"Nome Census Area","AK","99659, 99671, 99684, 99739, 99742, 99753, 99762, 99769, 99771, 99772, 99778, 99783, 99784, 99785"
"North Slope Borough","AK","99721, 99723, 99734, 99747, 99759, 99766, 99782, 99789, 99791"
"Northwest Arctic Borough","AK","99727, 99736, 99749, 99750, 99751, 99752, 99761, 99763, 99770, 99773, 99786"
"Petersburg Census Area","AK","99830, 99833, 99836"
"Prince of Wales-Hyder Census Area","AK","99918, 99919, 99921, 99922, 99923, 99925, 99926, 99927"
"Sitka City and Borough","AK",99835
"Skagway Municipality","AK",99840
"Southeast Fairbanks Census Area","AK","99731, 99732, 99737, 99738, 99764, 99776, 99780"
"Valdez-Cordova Census Area","AK","99566, 99573, 99574, 99586, 99588, 99677, 99686, 99693"
"Wade Hampton Census Area","AK","99554, 99563, 99581, 99585, 99604, 99620, 99632, 99650, 99657, 99658, 99662, 99666"
"Wrangell City and Borough","AK","99903, 99929"
"Yakutat City and Borough","AK",99689
"Yukon-Koyukuk Census Area","AK","99558, 99590, 99602, 99627, 99665, 99675, 99691, 99704, 99720, 99722, 99724, 99726, 99730, 99733, 99740, 99741, 99745, 99746, 99748, 99754, 99756, 99757, 99758, 99760, 99765, 99767, 99768, 99774, 99777, 99781, 99788"
"Autauga County","AL","36003, 36006, 36008, 36022, 36051, 36066, 36067, 36068, 36091, 36701, 36703, 36749, 36758"
"Barbour County","AL","26201, 26238, 26250, 26267, 26275, 26283, 26330, 26349, 26354, 26405, 26408, 26416, 36016, 36017, 36027, 36048, 36053, 36072, 36311, 36317, 36374"
"Bibb County","AL","31020, 31052, 31066, 31201, 31203, 31204, 31205, 31206, 31207, 31208, 31209, 31210, 31211, 31213, 31216, 31217, 31220, 31221, 31295, 35034, 35035, 35042, 35074, 35111, 35115, 35184, 35188, 35456, 36750, 36792, 36793"
"Bullock County","AL","36005, 36029, 36031, 36052, 36053, 36081, 36089, 36830, 36860"
"Chilton County","AL","35040, 35045, 35046, 35085, 35115, 35171, 36006, 36051, 36091, 36750, 36758, 36790, 36792, 36793"
